"Observed" "Estimator" "Est_s.e." "95% Lower" "95% Upper" "ResArea_Orig" "TimeWindow" "Order"
45 46.141 1.621 45.145 53.952 "Agriculture" "1990_1995" 0
44 45.994 2.256 44.337 55.813 "Agronomy" "1990_1995" 0
3 4.5 2.872 3.132 20.083 "Allergy" "1990_1995" 0
14 21.853 7.978 15.507 54.905 "Anatomy & Morphology" "1990_1995" 0
22 36.073 10.941 25.657 76.154 "Anthropology" "1990_1995" 0
3 5 2.921 3.246 19.244 "Archaeology" "1990_1995" 0
2 2.5 1.107 2.037 8.808 "Astronomy & Astrophysics" "1990_1995" 0
13 28.333 15.825 15.889 94.382 "Behavioral Sciences" "1990_1995" 0
22 45.872 18.143 28.355 111.665 "Biochemical Research Methods" "1990_1995" 0
46 58.233 13.136 48.198 114.071 "Biochemistry & Molecular Biology" "1990_1995" 0
40 61.032 16.362 45.461 120.996 "Biodiversity Conservation" "1990_1995" 0
38 42.066 4.034 38.803 58.595 "Biology" "1990_1995" 0
2 2.5 1.107 2.037 8.808 "Biomedical Social Sciences" "1990_1995" 0
23 27.822 4.771 23.955 47.347 "Biophysics" "1990_1995" 0
42 48.104 6.059 43.204 72.939 "Biotechnology & Applied Microbiology" "1990_1995" 0
9 14.859 7.106 9.908 46.791 "Business" "1990_1995" 0
2 2.5 1.107 2.037 8.808 "Cardiology" "1990_1995" 0
32 36.062 4.03 32.802 52.578 "Cell Biology" "1990_1995" 0
2 2.5 1.107 2.037 8.808 "Cell & Tissue Engineering" "1990_1995" 0
26 29.021 3.062 26.582 41.695 "Chemistry" "1990_1995" 0
2 2.5 1.107 2.037 8.808 "Clinical Neurology" "1990_1995" 0
14 18.35 4.658 14.784 38.123 "Computer Science" "1990_1995" 0
2 2.5 1.107 2.037 8.808 "Crystallography" "1990_1995" 0
1 1 0.312 1 2.549 "Demography" "1990_1995" 0
5 11.667 9.775 5.817 59.411 "Dentistry, Oral Surgery & Medicine" "1990_1995" 0
16 29.034 12.049 18.793 76.819 "Developmental Biology" "1990_1995" 0
46 46.125 0.437 46.005 48.918 "Ecology" "1990_1995" 0
8 11.733 4.964 8.517 34.975 "Economics" "1990_1995" 0
1 1 0.312 1 2.549 "Education" "1990_1995" 0
1 1 0.312 1 2.549 "Electrochemistry" "1990_1995" 0
7 12.556 6.759 7.858 42.97 "Endocrinology & Metabolism" "1990_1995" 0
6 16.714 14.743 7.421 86.784 "Energy & Fuels" "1990_1995" 0
28 33.003 4.388 29.138 49.989 "Engineering" "1990_1995" 0
34 39.303 4.904 35.136 58.755 "Entomology" "1990_1995" 0
24 32.216 6.817 25.989 57.938 "Environmental Studies" "1990_1995" 0
5 13 8.069 6.549 46.319 "Ethics" "1990_1995" 0
